Port_of_disembarqm,Date,Year,Month,Fishing_ground,Fishing_gear,Species,Total_Length_cm
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,32.2
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,32.4
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,29.2
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,27
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,25.5
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,26.7
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,25
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,26.2
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,24.7
JUBARTE PESCADOS,07-12-2006,2006,12,SUL DE PRADO,Hand_line,L_synagris,35.7
ALBATROZ,10-01-2007,2007,1,SEBASTI«O GOMES,Hand_line,L_synagris,33
ALBATROZ,10-01-2007,2007,1,SEBASTI«O GOMES,Hand_line,L_synagris,32.6
ALBATROZ,10-01-2007,2007,1,SEBASTI«O GOMES,Hand_line,L_synagris,33
ALBATROZ,10-01-2007,2007,1,SEBASTI«O GOMES,Hand_line,L_synagris,33
ALBATROZ,10-01-2007,2007,1,SEBASTI«O GOMES,Hand_line,L_synagris,34
ALBATROZ,10-01-2007,2007,1,SEBASTI«O GOMES,Hand_line,L_synagris,33.6
ALBATROZ,10-01-2007,2007,1,SEBASTI«O GOMES,Hand_line,L_synagris,32
ALBATROZ,10-01-2007,2007,1,SEBASTI«O GOMES,Hand_line,L_synagris,30.8
ALBATROZ,10-01-2007,2007,1,SEBASTI«O GOMES,Hand_line,L_synagris,31.5
ALBATROZ,10-01-2007,2007,1,SEBASTI«O GOMES,Hand_line,L_synagris,31.8
ALBATROZ,10-01-2007,2007,1,SEBASTI«O GOMES,Hand_line,L_synagris,31.5
ALBATROZ,10-01-2007,2007,1,SEBASTI«O GOMES,Hand_line,L_synagris,29.3
PONTA DE AREIA,10-01-2007,2007,1,PEDRA METEORO,Hand_line,L_synagris,45
BARRA,10-01-2007,2007,1,TIMBEBAS,Hand_line,L_synagris,36.5
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,24.5
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,26.5
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,26.5
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,25.2
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,25.7
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,27
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,27
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,25.2
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,27.2
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,27.2
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,27
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,25.5
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,26.5
ALBATROZ,08-02-2007,2007,2,RECIFE DA LIXA,Hand_line,L_synagris,25.3
