"","X","Linf","K","t_anchor","C","ts","phiL","MA","BS"
"42",42,68.7360845356951,0.141066358186433,0.700059105560574,0.560454748799556,0.474335691657921,2.82379303354215,5,2
"43",43,78.7549201697111,0.0738310813903809,0.783392578363419,0.894380643963814,0.32225489616394,2.66079462073057,5,2
"44",44,71.150800511241,0.177173689007759,0.594248592853546,0.346881553530693,0.634876117110252,2.95275880920608,5,2
"45",45,71.4337224776476,0.161692335680027,0.36363689794368,0.483199844945097,0.636877655236901,2.91649599896487,5,2
"46",46,56.2766266654776,0.283245157051877,0.631201756044922,0.399297504281958,0.539243771864639,2.95281860710868,5,2
"47",47,97.5086578359285,0.106069685326236,0.208586824360774,0.610291998978638,0.0921722077352762,3.00367763765627,5,2
"48",48,74.6561907976866,0.139542117714882,0.804280519485474,0.328392744064331,0.476084426045418,2.89083696368967,5,2
"49",49,55.5267414748669,0.342568218708038,0.457320168614388,0.145043537020683,0.49787962436676,3.02375144569174,5,2
"50",50,72.9941194616221,0.0706792432566464,0.856091120096002,0.459037381792288,0.428351975247033,2.57586763894763,5,2
"51",51,78.6284582017572,0.144691688265285,0.31206914443141,0.843035249112934,0.779095338826686,2.95160310366605,5,2
"52",52,83.7151693973976,0.145688110799846,0.678290501809665,0.250421562563284,0.781992148667561,3.00903243238902,5,2
"53",53,67.0854878276587,0.180699333548546,0.394364476203918,0.300394251942635,0.324557289481163,2.91021371519937,5,2
"54",54,70.5063813924789,0.161801993846893,0.27656289935112,0.267882034182549,0.578579381108284,2.90544072081703,5,2
"55",55,66.8527409732342,0.175344049930573,0.219417929649353,0.582428961992264,0.765148416161537,2.89412946947085,5,2
"56",56,64.0846277177334,0.231087580323219,0.69108934700489,0.475869968533516,0.487784326076508,2.97728433667127,5,2
"57",57,74.3918567110725,0.151461862513526,0.328324489838455,0.466058604943239,0.546433150050328,2.92335408939074,5,2
"58",58,60.251736303402,0.231452677255562,0.504317109969185,0.582512449784179,0.318599918085811,2.92440134211419,5,2
"59",59,85.904329508543,0.120986595749855,0.175676465034485,0.0101402848958969,0.365687280893326,2.95076736191986,5,2
"60",60,84.8105327636003,0.0710267871618271,0.787969991564751,0.34919185936451,0.749535158276558,2.70832175290924,5,2
"61",61,66.2321708202362,0.187459886074066,0.483349099755287,0.384345307946205,0.648369833827019,2.91504632811583,5,2
"62",62,82.4296087315558,0.11929423948133,0.708758062773898,0.871626439765587,0.461179775706504,2.90878594959265,5,2
"63",63,84.2328408509493,0.120093166828156,0.784997329115868,0.647613644599915,0.41577060520649,2.93048119327211,5,2
"64",64,59.5650112012946,0.244513005217928,0.655558905308517,0.458686534315348,0.220591024728492,2.93828441901448,5,2
"65",65,94.1678923869406,0.0956535832780905,0.67381840638508,0.546604761155322,0.555845192465006,2.92850694455498,5,2
"66",66,70.08675968647,0.154559880495071,0.932167261838913,0.42928858101368,0.416058376431465,2.88036873679358,5,2
"67",67,62.4491204619408,0.214246481657028,0.428966745734215,0.525684386491776,0.42060960829258,2.92196635093052,5,2
"68",68,77.9373508155275,0.0605932429381379,0.430053238422188,0.676093360772337,0.273629258218453,2.56591547550114,5,2
"69",69,73.9084898680449,0.0892575234174728,0.018931970000267,0.494544610381126,0.729805335402489,2.68803348985913,5,2
"70",70,61.7433409348767,0.223698343468887,0.594222937441361,0.641966048609946,0.65278685730545,2.93084301902133,5,2
"71",71,72.2788694947958,0.124285250902176,0.463885858654976,0.560376837849617,0.424160346388817,2.81244229577671,5,2
"72",72,54.5365627592383,0.268729042679676,0.608954154633521,0.513048301799494,0.505078174631694,2.90269012994376,5,2
"73",73,58.2964111417532,0.166880145668983,0.56523010134697,0.568279206752777,0.55762854218483,2.75368830904928,5,2
